candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_169,Domates (Çiğ),Tomato raw,Sebze,raw,USDA,true,65,Domates,medium,likely_match_manual_check,3925,"Red Tomatoes, Raw",18,0.88,3.89,0.2,1.2,2.63,5,47.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Domates) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_170,Havuç (Çiğ),Carrot raw,Sebze,raw,USDA,true,68,Havuç,medium,can_update_from_usda,2194,"Carrots, Raw",41,0.93,9.58,0.24,2.8,4.74,69,77.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Havuç) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_171,Havuç (Haşlanmış),Carrot boiled,Sebze,boiled,USDA,true,68,Havuç,medium,likely_match_manual_check,2193,"Carrots, Boiled without Salt",35,0.76,8.22,0.18,3,3.45,58,47.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Havuç) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_172,Kereviz (Çiğ),Celery raw,Sebze,raw,USDA,true,155,Kereviz,medium,can_update_from_usda,6210,"Celery, Raw",16.6973,0.4922,3.3165,0.1625,0,0,97.21,90,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Kereviz) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_173,Pırasa (Haşlanmış),Leek boiled,Sebze,boiled,USDA,true,156,Pırasa,medium,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_174,Mantar (Beyaz Çiğ),White mushrooms raw,Sebze,raw,USDA,true,75,Mantar (Beyaz),medium,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_175,Mantar (Izgara),Mushrooms grilled,Sebze,grilled,USDA,true,75,Mantar (Beyaz),medium,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_176,Patates (Fırın),Potato baked,Sebze,baked,USDA,true,76,Patates (Haşlanmış),strong,can_update_from_usda,557,"White Potato, Baked, Flesh and Skin",92,2.1,21.08,0.15,2.1,1.53,7,76,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Patates (Haşlanmış)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_177,Tatlı Patates (Fırın),Sweet potato baked,Sebze,baked,USDA,true,18,Tatlı Patates,medium,likely_match_manual_check,5358,Baked Sweet Potato Flesh without Salt,90,2.01,20.71,0.15,3.3,6.48,36,51.6667,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Tatlı Patates) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_178,Enginar (Haşlanmış),Artichoke boiled,Sebze,boiled,USDA,true,157,Enginar,medium,can_update_from_usda,2315,"Artichoke, Boiled, No Salt, Drained",53,2.89,11.95,0.34,5.7,0.99,60,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Enginar) ile USDA eşleşmesi onaylandı; güncelleme adayı.
